,state,percentage_religious,code,State,% High school graduate,% Bachelor's degree,% Advanced degree
0, Alabama,0.77,AL,Alabama,0.843,0.235,0.087
1, Mississippi,0.77,MS,Mississippi,0.823,0.207,0.077
2, Tennessee,0.73,TN,Tennessee,0.9359999999999999,0.295,0.095
3, Louisiana,0.71,LA,Louisiana,0.8340000000000001,0.225,0.077
4, Arkansas,0.7,AR,Arkansas,0.848,0.21100000000000002,0.075
5, South Carolina,0.7,SC,South Carolina,0.856,0.258,0.09300000000000001
6, West Virginia,0.69,WV,West Virginia,0.85,0.192,0.07400000000000001
7, Oklahoma,0.66,OK,Oklahoma,0.8690000000000001,0.24100000000000002,0.08
8, Georgia,0.66,GA,Georgia,0.8540000000000001,0.28800000000000003,0.107
9, North Carolina,0.65,NC,North Carolina,0.858,0.284,0.099
10, Texas,0.64,TX,Texas,0.8190000000000001,0.276,0.094
11, Utah,0.64,UT,Utah,0.912,0.311,0.10400000000000001
12, Kentucky,0.63,KY,Kentucky,0.8420000000000001,0.223,0.092
13, Virginia,0.61,VA,Virginia,0.883,0.363,0.154
14, Missouri,0.6,MO,Missouri,0.884,0.271,0.102
15, South Dakota,0.59,SD,South Dakota,0.909,0.27,0.08
16, Ohio,0.58,OH,Ohio,0.8909999999999999,0.261,0.09699999999999999
17, New Mexico,0.57,NM,New Mexico,0.8420000000000001,0.263,0.115
18, Iowa,0.55,IA,Iowa,0.915,0.267,0.085
19, Kansas,0.55,KS,Kansas,0.902,0.31,0.11
20, New Jersey,0.55,NJ,New Jersey,0.8859999999999999,0.368,0.14
21, Indiana,0.54,IN,Indiana,0.878,0.24100000000000002,0.087
22, Wyoming,0.54,WY,Wyoming,0.9229999999999999,0.257,0.086
23, Florida,0.54,FL,Florida,0.8690000000000001,0.273,0.098
24, Maryland,0.54,MD,Maryland,0.894,0.379,0.17300000000000001
25, Nebraska,0.54,NE,Nebraska,0.907,0.293,0.09699999999999999
26, Michigan,0.53,MI,Michigan,0.8959999999999999,0.26899999999999996,0.105
27, Pennsylvania,0.53,PA,Pennsylvania,0.892,0.28600000000000003,0.11199999999999999
28, North Dakota,0.53,ND,North Dakota,0.917,0.27699999999999997,0.076
29, Arizona,0.53,AZ,Arizona,0.86,0.275,0.102
30, District of Columbia,0.53,DC,District of Columbia,0.893,0.546,0.313
31, Delaware,0.52,DE,Delaware,0.884,0.3,0.122
32, Illinois,0.51,IL,Illinois,0.879,0.32299999999999995,0.124
33, Idaho,0.51,ID,Idaho,0.895,0.259,0.08199999999999999
34, California,0.49,CA,California,0.818,0.314,0.11599999999999999
35, Nevada,0.49,NV,Nevada,0.851,0.23,0.079
36, Minnesota,0.49,MN,Minnesota,0.924,0.337,0.11199999999999999
37, Rhode Island,0.49,RI,Rhode Island,0.862,0.319,0.128
38, Montana,0.48,MT,Montana,0.855,0.249,0.09
39, Oregon,0.48,OR,Oregon,0.898,0.308,0.115
40, Hawaii,0.47,HI,Hawaii,0.91,0.308,0.105
41, Colorado,0.47,CO,Colorado,0.907,0.381,0.14
42, New York,0.46,NY,New York,0.856,0.342,0.14800000000000002
43, Washington,0.45,WA,Washington,0.904,0.32899999999999996,0.12
44, Alaska,0.45,AK,Alaska,0.9209999999999999,0.28,0.10099999999999999
45, Wisconsin,0.45,WI,Wisconsin,0.91,0.278,0.094
46, Connecticut,0.43,CT,Connecticut,0.899,0.376,0.166
47, Maine,0.34,ME,Maine,0.9159999999999999,0.29,0.10300000000000001
48, Vermont,0.34,VT,Vermont,0.9179999999999999,0.36,0.14300000000000002
49, New Hampshire,0.33,NH,New Hampshire,0.9229999999999999,0.349,0.13
50, Massachusetts,0.33,MA,Massachusetts,0.898,0.405,0.177
