,state,percentage_religious,code,State,% High school graduate,Rank,% Bachelor's degree,Rank.1,% Advanced degree,Rank.2
0, Alabama,0.77,AL,Alabama,0.843,44.0,0.235,44.0,0.087,38.0
1, Mississippi,0.77,MS,Mississippi,0.823,48.0,0.207,49.0,0.077,46.0
2, Tennessee,0.73,TN,Tennessee,0.9359999999999999,2.0,0.295,20.0,0.095,32.0
3, Louisiana,0.71,LA,Louisiana,0.8340000000000001,47.0,0.225,46.0,0.077,46.0
4, Arkansas,0.7,AR,Arkansas,0.848,43.0,0.21100000000000002,48.0,0.075,49.0
5, South Carolina,0.7,SC,South Carolina,0.856,37.0,0.258,39.0,0.09300000000000001,35.0
6, West Virginia,0.69,WV,West Virginia,0.85,42.0,0.192,50.0,0.07400000000000001,50.0
7, Oklahoma,0.66,OK,Oklahoma,0.8690000000000001,32.0,0.24100000000000002,42.0,0.08,43.0
8, Georgia,0.66,GA,Georgia,0.8540000000000001,40.0,0.28800000000000003,23.0,0.107,20.0
9, North Carolina,0.65,NC,North Carolina,0.858,36.0,0.284,25.0,0.099,28.0
10, Texas,0.64,TX,Texas,0.8190000000000001,49.0,0.276,29.0,0.094,33.0
11, Utah,0.64,UT,Utah,0.912,10.0,0.311,15.0,0.10400000000000001,23.0
12, Kentucky,0.63,KY,Kentucky,0.8420000000000001,45.0,0.223,47.0,0.092,36.0
13, Virginia,0.61,VA,Virginia,0.883,29.0,0.363,6.0,0.154,4.0
14, Missouri,0.6,MO,Missouri,0.884,27.0,0.271,32.0,0.102,25.0
15, South Dakota,0.59,SD,South Dakota,0.909,13.0,0.27,33.0,0.08,43.0
16, Ohio,0.58,OH,Ohio,0.8909999999999999,25.0,0.261,37.0,0.09699999999999999,30.0
17, New Mexico,0.57,NM,New Mexico,0.8420000000000001,45.0,0.263,36.0,0.115,15.0
18, Iowa,0.55,IA,Iowa,0.915,9.0,0.267,35.0,0.085,41.0
19, Kansas,0.55,KS,Kansas,0.902,17.0,0.31,16.0,0.11,19.0
20, New Jersey,0.55,NJ,New Jersey,0.8859999999999999,26.0,0.368,5.0,0.14,7.0
21, Indiana,0.54,IN,Indiana,0.878,31.0,0.24100000000000002,42.0,0.087,38.0
22, Wyoming,0.54,WY,Wyoming,0.9229999999999999,3.0,0.257,40.0,0.086,40.0
23, Florida,0.54,FL,Florida,0.8690000000000001,32.0,0.273,31.0,0.098,29.0
24, Maryland,0.54,MD,Maryland,0.894,23.0,0.379,3.0,0.17300000000000001,2.0
25, Nebraska,0.54,NE,Nebraska,0.907,14.0,0.293,21.0,0.09699999999999999,30.0
26, Michigan,0.53,MI,Michigan,0.8959999999999999,21.0,0.26899999999999996,34.0,0.105,21.0
27, Pennsylvania,0.53,PA,Pennsylvania,0.892,24.0,0.28600000000000003,24.0,0.11199999999999999,17.0
28, North Dakota,0.53,ND,North Dakota,0.917,7.0,0.27699999999999997,28.0,0.076,48.0
29, Arizona,0.53,AZ,Arizona,0.86,35.0,0.275,30.0,0.102,25.0
31, Delaware,0.52,DE,Delaware,0.884,27.0,0.3,19.0,0.122,12.0
32, Illinois,0.51,IL,Illinois,0.879,30.0,0.32299999999999995,12.0,0.124,11.0
33, Idaho,0.51,ID,Idaho,0.895,22.0,0.259,38.0,0.08199999999999999,42.0
34, California,0.49,CA,California,0.818,50.0,0.314,14.0,0.11599999999999999,14.0
35, Nevada,0.49,NV,Nevada,0.851,41.0,0.23,45.0,0.079,45.0
36, Minnesota,0.49,MN,Minnesota,0.924,2.0,0.337,10.0,0.11199999999999999,17.0
37, Rhode Island,0.49,RI,Rhode Island,0.862,34.0,0.319,13.0,0.128,10.0
38, Montana,0.48,MT,Montana,0.855,39.0,0.249,41.0,0.09,37.0
39, Oregon,0.48,OR,Oregon,0.898,19.0,0.308,17.0,0.115,15.0
40, Hawaii,0.47,HI,Hawaii,0.91,11.0,0.308,17.0,0.105,21.0
41, Colorado,0.47,CO,Colorado,0.907,14.0,0.381,2.0,0.14,7.0
42, New York,0.46,NY,New York,0.856,37.0,0.342,9.0,0.14800000000000002,5.0
43, Washington,0.45,WA,Washington,0.904,16.0,0.32899999999999996,11.0,0.12,13.0
44, Alaska,0.45,AK,Alaska,0.9209999999999999,5.0,0.28,26.0,0.10099999999999999,27.0
45, Wisconsin,0.45,WI,Wisconsin,0.91,11.0,0.278,27.0,0.094,33.0
46, Connecticut,0.43,CT,Connecticut,0.899,18.0,0.376,4.0,0.166,3.0
47, Maine,0.34,ME,Maine,0.9159999999999999,8.0,0.29,22.0,0.10300000000000001,24.0
48, Vermont,0.34,VT,Vermont,0.9179999999999999,6.0,0.36,7.0,0.14300000000000002,6.0
49, New Hampshire,0.33,NH,New Hampshire,0.9229999999999999,3.0,0.349,8.0,0.13,9.0
50, Massachusetts,0.33,MA,Massachusetts,0.898,19.0,0.405,1.0,0.177,1.0
